id,1m2f,age,flanders,WJ_LW_ID,WJ_RF_Cor,WJ_RF_Inc,WJ_RF_Tot,WJ_PC,WJ_WA,WJ_RV_Syn,WJ_RV_Ant,WJ_RV_Ana,WJ_RV_Tot,WJ_Tot,CC_Reg,CC_Irr,CC_Non,CC_Tot,MR_Raw,MR_Scaled,SS_Raw,SS_Scaled,SS_Time_Taken (Secs),PAL_PatternsReached,PAL_PatternsSucceededOn,PAL_MeanErrorsSuccess_Raw,PAL_MeanErrorsSuccess_Standard,PAL_MeanTrialsSuccess_Raw,PAL_MeanTrialsSuccess_Standard,PAL_StagesCompleted_Raw,PAL_StagesCompleted_Standard,PAL_TotalErrors_Raw,PAL_TotalErrors_Standard,PAL_TotalTrials_Raw,PAL_TotalTrials_Standard,SSP_SpanLength_Raw,SSP_SpanLength_Standard,w_p1a_f_l,w_p1a_f_r,w_p1a_d_l,w_p1a_d_r,w_p1l_f_l,w_p1l_f_r,w_p1l_d_l,w_p1l_d_r,w_n1a_f_l,w_n1a_f_r,w_n1a_d_l,w_n1a_d_r,w_n1l_f_l,w_n1l_f_r,w_n1l_d_l,w_n1l_d_r,w_p3a_f_l,w_p3a_f_r,w_p3a_d_l,w_p3a_d_r,w_p3l_f_l,w_p3l_f_r,w_p3l_d_l,w_p3l_d_r,w_sla_f_l,w_sla_f_r,w_sla_d_l,w_sla_d_r,l_p1a_f_l,l_p1a_f_r,l_p1a_d_l,l_p1a_d_r,l_p1l_f_l,l_p1l_f_r,l_p1l_d_l,l_p1l_d_r,l_n1a_f_l,l_n1a_f_r,l_n1a_d_l,l_n1a_d_r,l_n1l_f_l,l_n1l_f_r,l_n1l_d_l,l_n1l_d_r,l_p3a_f_l,l_p3a_f_r,l_p3a_d_l,l_p3a_d_r,l_p3l_f_l,l_p3l_f_r,l_p3l_d_l,l_p3l_d_r,l_sla_f_l,l_sla_f_r,l_sla_d_l,l_sla_d_r
11,2,8.77,5,54,40,0,40,24,26,8,8,6,22,166,36,26,26,88,13,7,16,8,120,8,8,1.25,0.08,1.38,0.31,8,0.19,10,0.06,11,0.31,3,-2.84,1.602121035,4.113192202,1.844519732,-1.68522393,142,116.5,120.5,107,-14.84470391,-24.30639249,-24.04290148,-21.87088926,218.5,215.5,175,214,-4.109685916,-18.75837654,-7.38821764,-14.33305928,317.5,310,320.5,348,7.991324537,14.39821121,3.46283979,-7.097322504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,11.96,10,59,48,1,47,28,23,16,10,9,35,192,36,26,31,93,22,9,32,13,120,8,8,3.5,-1.17,1.88,-0.92,8,999,28,-1.7,15,-0.92,8,1.77,16.98868933,10.88195563,15.16184644,8.367346658,95,142,102.5,133,11.91098991,6.758081262,5.109918404,5.479228188,183,189.5,189.5,190.5,17.85430554,18.68124709,14.21848696,17.3151986,422.5,416.5,450,433,24.08790752,25.23956195,24.50965027,28.76390011,14.44991616,8.938050949,19.79291252,11.15784247,104.5,101.5,103,136,5.675105763,6.640516104,10.67880143,8.297888647,187.5,184.5,176.5,172.5,11.6910439,13.79048587,11.45163945,12.82952847,432,428,379,429,9.721973228,10.13719857,7.856268476,8.185558662
13,1,10.9,10,65,51,1,50,32,30,15,13,11,39,216,40,35,32,107,26,13,15,6,120,8,8,0.5,0.5,1.38,0.24,8,999,4,0.5,11,0.25,5,-0.33,14.18632615,17.97676431,21.29644281,23.71705857,112.5,111,124.5,109.5,-3.446112719,-26.33615432,0.185191596,-16.30665783,190,196,203.5,200.5,11.33340168,-0.823091138,16.64729141,16.22415514,435,440,300.5,415.5,9.9102759,15.11415329,-1.15675633,0.375497914,22.05049998,33.24414509,17.612177,16.54778842,135,134.5,130,120.5,11.37990765,-0.060744326,-13.30899782,-25.15860717,219.5,240.5,193.5,198.5,40.32551455,38.1400737,23.97221029,29.41526206,336,323,378.5,443.5,54.2372973,57.06133129,9.851010667,20.80827185
14,1,11.33,-2,49,36,0,36,26,12,11,12,9,32,155,32,19,25,76,16,6,21,8,120,8,8,1,0.13,1.38,0.24,8,999,8,0.13,11,0.25,6,0.37,14.36727034,13.86835665,13.76237291,13.15511625,92,90.5,99.5,98,2.554200748,0.233901796,-2.186026583,-2.641187244,154.5,159,167.5,165.5,14.28672928,12.79216881,12.84352,12.08484268,312.5,327,315.5,317,17.14776683,21.53337209,18.09778327,19.98606367,20.26906833,20.00478866,-6.653161722,-6.298235827,101.5,82,100.5,100,6.79410269,-1.343577797,-27.7655456,-29.5631329,193.5,183,222,182,12.64504928,18.91779875,7.328618925,3.46939734,415,412,322,323,27.85458742,35.68907332,8.988154503,9.751212128
15,2,8.18,10,61,78,0,78,33,27,14,14,13,41,240,39,34,30,103,24,10,28,10,120,8,8,0.88,-0.11,1.38,-0.15,8,999,7,-0.11,11,-0.15,7,0.51,9.487791324,11.5099488,8.809554321,13.29978707,97.5,119,102,129.5,10.47174115,11.45988877,10.65377486,17.5760733,153.5,166,156.5,164,16.62860861,21.8213149,20.84287591,28.03152503,354.5,303.5,376,387,9.958301156,15.23101273,15.5109977,20.63909674,5.189090278,6.230291115,10.73714215,11.94600807,121,120,117,115.5,11.81515663,10.12604515,18.3923224,21.65816202,162,167.5,158.5,159,27.14494955,32.75253026,33.7000464,38.28996888,307.5,372,397,422.5,23.55169887,27.01170737,26.94241473,30.90955175
16,2,9.85,10,50,43,1,42,22,20,3,8,4,15,149,34,24,25,83,19,9,28,13,120,8,8,0.62,0.55,1.25,0.62,8,0.19,5,0.57,10,0.66,6,0.91,34.43827724,35.13129132,37.04439261,37.61825276,109.5,113,107.5,112,-9.696860507,3.821331869,4.113112492,14.63842329,186.5,170.5,183.5,163,20.63453699,23.23111658,25.07799921,24.5260418,415.5,420,444,444,21.70130166,20.45091165,28.63238338,26.01246165,23.81857659,34.5108523,21.18474525,33.41756947,95,115.5,104.5,108,-10.76963561,4.220844229,-17.29403521,-0.504847722,193.5,175.5,192,172.5,21.85551422,20.2594223,18.63827646,17.65699083,421,384.5,443.5,446,20.53113841,14.08498707,21.06274437,16.44836794
17,2,12.54,-2,59,73,0,73,28,29,13,13,10,36,225,38,29,34,101,22,9,32,12,120,8,8,0.38,0.63,1.12,0.93,8,999,3,0.63,9,0.92,7,0.51,5.642450802,19.7598442,8.851968468,12.27457,128.5,112.5,116.5,103,0.345726238,10.61498388,5.57149807,14.65431221,182,168,173,164.5,7.267539447,12.01096654,8.188310355,13.31366935,412,418.5,395.5,382.5,2.833523931,9.022770414,5.005147775,7.68129563,11.62712372,14.07648828,16.7252876,21.40867589,119,112.5,117.5,113,13.68686536,17.53910643,21.5718903,27.02223331,168,150,164.5,152.5,22.4409277,20.82785582,25.20221377,26.15252779,380,377,311.5,311,16.47783705,10.5093154,11.58171879,7.0850896
18,1,10.59,9,61,38,0,38,25,27,12,12,8,32,183,39,28,33,100,21,10,26,11,120,8,8,0.88,0.22,1.38,0.24,8,999,7,0.23,11,0.25,5,-0.33,24.71907103,23.63487186,20.54971463,19.5746546,109.5,111,112.5,114.5,6.644004443,-1.036988171,9.897369752,1.374408681,179.5,191,173.5,192,22.88787599,26.16093888,21.98280168,27.9347281,316,329,318,325,19.21800002,19.05302067,18.19807475,19.06369609,12.82037375,15.81729058,18.08361714,21.68358892,104.5,110.5,103,102,-6.697850142,-10.40569881,-3.322831003,-6.223287289,166,187.5,163.5,185.5,10.13240659,14.61171593,9.926124062,16.47180406,384.5,382.5,386.5,387.5,13.1343984,14.44486919,10.43095988,14.67329416
19,2,12.73,4,67,67,0,67,41,29,19,16,12,47,251,,,,,28,13,36,13,120,8,8,1.12,-0.49,1.38,-0.15,8,999,9,-0.49,11,-0.15,7,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.27960045,14.07899041,9.619570986,12.45694989,111,116.5,125,122,10.68382417,4.74102984,8.354740881,6.84686202,192,190,181,182.5,32.47410852,28.20215938,30.48845246,25.64746326,301,301,338.5,448.5,21.74388398,18.32580358,19.72246183,12.77500915
20,1,10.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.90393713,24.01774995,20.3830867,24.79159682,112,112,113.5,108,3.894894004,11.60929298,3.269029698,8.837107851,204.5,187.5,196,194.5,29.93951481,30.53010617,20.96005434,21.62914951,390,400,381,373.5,23.33686257,26.68173879,10.93807286,16.65054296,10.28051286,14.71242144,11.93944722,18.94125284,109,114,111,110,-6.901248227,-2.068533375,-14.76453054,-7.868712549,153,160,196.5,166.5,25.6656251,20.44890509,24.57697047,23.44228361,375,382.5,368.5,374,14.46254126,10.60640535,17.39456056,14.17533769
21,2,8.63,10,65,51,0,51,36,28,12,12,9,33,213,36,26,32,94,21,10,25,10,120,8,8,1,0.13,1.38,0.24,8,999,8,0.13,11,0.25,8,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,8.67,9,52,49,1,48,25,26,9,8,2,19,170,38,24,36,98,18,10,21,10,120,8,8,1.25,0.08,1.5,0,8,0.19,10,0.06,12,-0.03,5,-0.34,21.56380014,26.84913147,24.82238908,28.51119222,134.5,130,105.5,119.5,7.479111039,2.572383234,4.462447167,2.310791591,224,219,200.5,189.5,26.97223685,27.42048279,22.81589807,23.18519521,300,302,373,375,22.54404212,20.77233627,14.27949202,12.67953879,,,,,,,,,,,,,,,,,,,,,,,,,,,,
